context_time,node_time,embedding_time,diagnose_time,retrieval_time
49.0,19.0,13.0,14.0,8.0
104.0,23.0,6.0,16.0,8.0
65.0,24.0,17.0,14.0,6.0
38.0,24.0,13.0,15.0,6.0
39.0,16.0,11.0,17.0,7.0
40.0,21.0,12.0,18.0,7.0
41.0,23.0,15.0,17.0,12.0
42.0,19.0,13.0,13.0,8.0
46.0,23.0,11.0,15.0,9.0
39.0,23.0,9.0,15.0,13.0
46.0,24.0,5.0,16.0,11.0
43.0,16.0,12.0,13.0,12.0
46.0,27.0,4.0,14.0,10.0
41.0,19.0,10.0,29.0,12.0
28.0,27.0,12.0,16.0,12.0
39.0,26.0,14.0,15.0,13.0
31.0,29.0,6.0,14.0,8.0
36.0,28.0,14.0,15.0,11.0
41.0,24.0,9.0,15.0,9.0
41.0,27.0,34.0,17.0,44.0
36.0,29.0,4.0,14.0,8.0
38.0,30.0,9.0,14.0,13.0
47.0,28.0,9.0,16.0,11.0
51.0,28.0,7.0,15.0,8.0
42.0,31.0,9.0,14.0,20.0
41.0,22.0,6.0,14.0,7.0
43.0,29.0,25.0,14.0,13.0
38.0,26.0,5.0,17.0,23.0
46.0,29.0,8.0,16.0,11.0
33.0,29.0,3.0,36.0,8.0
52.0,26.0,5.0,33.0,7.0
29.0,14.0,3.0,14.0,8.0
53.0,19.0,11.0,13.0,8.0
34.0,27.0,4.0,12.0,7.0
33.0,24.0,6.0,14.0,24.0
26.0,17.0,3.0,14.0,40.0
45.0,45.0,7.0,18.0,6.0
46.0,47.0,9.0,25.0,8.0
48.0,102.0,4.0,18.0,8.0
23.0,46.0,8.0,16.0,9.0
31.0,65.0,4.0,17.0,11.0
46.0,52.0,10.0,15.0,15.0
28.0,51.0,4.0,20.0,13.0
45.0,39.0,9.0,17.0,14.0
26.0,50.0,9.0,13.0,11.0
55.0,43.0,6.0,12.0,20.0
42.0,43.0,8.0,16.0,11.0
47.0,36.0,8.0,13.0,31.0
51.0,30.0,7.0,13.0,7.0
28.0,40.0,9.0,11.0,21.0
40.0,13.0,4.0,15.0,7.0
37.0,34.0,8.0,16.0,11.0
32.0,44.0,8.0,14.0,7.0
38.0,50.0,6.0,13.0,7.0
29.0,54.0,11.0,15.0,7.0
29.0,46.0,7.0,14.0,8.0
33.0,40.0,7.0,15.0,9.0
36.0,45.0,10.0,16.0,7.0
59.0,50.0,10.0,12.0,11.0
40.0,49.0,7.0,14.0,8.0
36.0,48.0,3.0,13.0,13.0
30.0,66.0,5.0,13.0,9.0
37.0,42.0,6.0,13.0,7.0
33.0,46.0,3.0,12.0,7.0
26.0,37.0,6.0,14.0,7.0
28.0,22.0,17.0,13.0,11.0
31.0,18.0,88.0,13.0,7.0
28.0,48.0,46.0,12.0,6.0
41.0,25.0,66.0,14.0,7.0
50.0,42.0,18.0,11.0,8.0
58.0,35.0,68.0,14.0,7.0
61.0,41.0,92.0,15.0,7.0
61.0,49.0,37.0,11.0,6.0
50.0,31.0,42.0,14.0,10.0
59.0,28.0,50.0,12.0,7.0
57.0,41.0,31.0,14.0,7.0
52.0,51.0,18.0,16.0,6.0
50.0,44.0,14.0,14.0,8.0
51.0,41.0,36.0,14.0,8.0
51.0,47.0,3.0,14.0,6.0
60.0,41.0,28.0,14.0,8.0
57.0,37.0,37.0,14.0,7.0
48.0,50.0,57.0,12.0,8.0
19.0,,59.0,16.0,7.0
53.0,,11.0,13.0,7.0
56.0,,11.0,14.0,7.0
56.0,,35.0,14.0,11.0
116.0,,50.0,18.0,6.0
46.0,,56.0,12.0,27.0
54.0,,37.0,13.0,6.0
59.0,,78.0,14.0,7.0
51.0,,49.0,11.0,11.0
60.0,,49.0,14.0,21.0
53.0,,28.0,12.0,7.0
57.0,,5.0,12.0,7.0
58.0,,4.0,14.0,9.0
56.0,,27.0,12.0,8.0
93.0,,6.0,14.0,8.0
30.0,,29.0,15.0,7.0
25.0,,15.0,14.0,6.0
51.0,,34.0,10.0,8.0
37.0,,48.0,12.0,7.0
56.0,,15.0,13.0,7.0
46.0,,10.0,14.0,7.0
55.0,,33.0,12.0,11.0
56.0,,56.0,12.0,8.0
51.0,,55.0,13.0,7.0
50.0,,17.0,12.0,10.0
64.0,,43.0,16.0,6.0
61.0,,30.0,14.0,7.0
54.0,,15.0,16.0,7.0
44.0,,67.0,15.0,6.0
57.0,,,15.0,8.0
56.0,,,19.0,7.0
49.0,,,13.0,6.0
56.0,,,15.0,9.0
,,,14.0,9.0
,,,14.0,7.0
,,,15.0,20.0
,,,15.0,8.0
,,,14.0,10.0
,,,14.0,7.0
,,,12.0,7.0
,,,12.0,7.0
,,,16.0,7.0
,,,11.0,8.0
,,,14.0,8.0
,,,14.0,9.0
,,,13.0,7.0
,,,13.0,11.0
,,,13.0,7.0
,,,13.0,7.0
,,,11.0,7.0
,,,13.0,8.0
,,,12.0,7.0
,,,13.0,8.0
,,,17.0,7.0
,,,13.0,7.0
,,,13.0,7.0
,,,13.0,6.0
,,,15.0,10.0
,,,14.0,16.0
,,,14.0,6.0
,,,14.0,8.0
,,,12.0,7.0
,,,12.0,8.0
,,,26.0,6.0
,,,26.0,5.0
,,,12.0,10.0
,,,14.0,8.0
,,,17.0,7.0
,,,13.0,41.0
,,,13.0,42.0
,,,20.0,8.0
,,,14.0,7.0
,,,15.0,9.0
,,,15.0,8.0
,,,14.0,7.0
,,,12.0,13.0
,,,14.0,13.0
,,,14.0,7.0
,,,26.0,8.0
,,,14.0,11.0
,,,14.0,8.0
,,,15.0,7.0
,,,16.0,8.0
,,,15.0,14.0
,,,17.0,9.0
,,,14.0,8.0
,,,14.0,11.0
,,,13.0,8.0
,,,13.0,10.0
,,,14.0,8.0
,,,12.0,6.0
,,,15.0,9.0
,,,14.0,7.0
,,,16.0,6.0
,,,17.0,6.0
,,,14.0,8.0
,,,12.0,9.0
,,,13.0,6.0
,,,13.0,10.0
,,,13.0,15.0
,,,14.0,7.0
,,,16.0,7.0
,,,14.0,7.0
,,,15.0,7.0
,,,14.0,6.0
,,,13.0,7.0
,,,23.0,8.0
,,,12.0,7.0
,,,16.0,9.0
,,,15.0,5.0
,,,14.0,6.0
,,,14.0,11.0
,,,14.0,7.0
,,,13.0,6.0
,,,15.0,6.0
,,,16.0,7.0
,,,14.0,6.0
,,,27.0,7.0
,,,15.0,6.0
,,,13.0,6.0
,,,11.0,6.0
,,,14.0,7.0
,,,14.0,5.0
,,,13.0,7.0
,,,9.0,7.0
,,,15.0,6.0
,,,13.0,9.0
,,,13.0,6.0
,,,13.0,7.0
,,,15.0,6.0
,,,12.0,6.0
,,,16.0,8.0
,,,13.0,6.0
,,,15.0,8.0
,,,14.0,6.0
,,,14.0,6.0
,,,16.0,6.0
,,,12.0,8.0
,,,14.0,7.0
,,,16.0,7.0
,,,13.0,6.0
,,,12.0,5.0
,,,22.0,8.0
,,,16.0,10.0
,,,15.0,6.0
,,,13.0,7.0
,,,14.0,13.0
,,,13.0,19.0
,,,13.0,6.0
,,,14.0,11.0
,,,11.0,14.0
,,,18.0,7.0
,,,15.0,7.0
,,,13.0,6.0
,,,14.0,7.0
,,,14.0,7.0
,,,15.0,8.0
,,,22.0,9.0
,,,13.0,8.0
,,,13.0,7.0
,,,15.0,8.0
,,,16.0,7.0
,,,16.0,32.0
,,,17.0,7.0
,,,15.0,7.0
,,,14.0,8.0
,,,14.0,7.0
,,,14.0,6.0
,,,18.0,6.0
,,,16.0,8.0
,,,13.0,5.0
,,,13.0,12.0
,,,14.0,6.0
,,,15.0,9.0
,,,16.0,10.0
,,,16.0,7.0
,,,18.0,8.0
,,,16.0,9.0
,,,13.0,8.0
,,,14.0,7.0
,,,16.0,7.0
,,,13.0,9.0
,,,14.0,7.0
,,,14.0,7.0
,,,18.0,7.0
,,,13.0,6.0
,,,14.0,7.0
,,,11.0,7.0
,,,15.0,6.0
,,,13.0,17.0
,,,14.0,7.0
,,,19.0,7.0
,,,15.0,7.0
,,,15.0,7.0
,,,13.0,6.0
,,,15.0,7.0
,,,14.0,17.0
,,,16.0,7.0
,,,,6.0
,,,,8.0
,,,,7.0
,,,,6.0
,,,,10.0
